SIZE,FUEL,DISTANCE,DESIBEL,AIRFLOW,FREQUENCY,STATUS
1.0,gasoline,10.0,96.0,0.0,75.0,0
1.0,,10.0,96.0,0.0,72.0,1
1.0,gasoline,10.0,96.0,,,1
,gasoline,10.0,96.0,,68.0,1
1.0,gasoline,10.0,109.0,4.5,67.0,1
1.0,gasoline,10.0,109.0,7.8,66.0,1
1.0,gasoline,10.0,103.0,9.7,,1
1.0,,10.0,95.0,12.0,,1
1.0,gasoline,10.0,102.0,13.3,,1
1.0,gasoline,10.0,93.0,15.4,52.0,1
1.0,gasoline,10.0,93.0,15.1,,1
1.0,gasoline,10.0,95.0,15.2,50.0,1
1.0,gasoline,10.0,110.0,15.4,,1
1.0,gasoline,10.0,,15.2,47.0,1
,gasoline,10.0,109.0,15.4,46.0,1
1.0,gasoline,10.0,,15.2,45.0,1
1.0,,,,,44.0,1
,gasoline,10.0,,,42.0,1
1.0,gasoline,10.0,106.0,15.4,40.0,1
1.0,gasoline,10.0,111.0,15.5,38.0,1
1.0,gasoline,10.0,,,36.0,1
1.0,gasoline,10.0,103.0,14.9,35.0,1
,gasoline,10.0,,14.9,,1
1.0,gasoline,10.0,108.0,14.9,33.0,1
1.0,,10.0,110.0,15.1,32.0,1
1.0,gasoline,10.0,109.0,17.0,30.0,1
1.0,gasoline,10.0,108.0,15.5,,1
1.0,gasoline,10.0,108.0,,,1
1.0,gasoline,10.0,107.0,,,1
1.0,gasoline,,,16.6,,1
1.0,gasoline,10.0,,15.2,24.0,1
,gasoline,10.0,,,,1
1.0,gasoline,10.0,108.0,,22.0,1
1.0,gasoline,,109.0,15.2,21.0,1
,gasoline,,108.0,15.7,20.0,1
,gasoline,10.0,108.0,15.2,19.0,1
,gasoline,10.0,106.0,15.1,18.0,1
1.0,gasoline,10.0,105.0,,17.0,1
,gasoline,10.0,105.0,13.8,16.0,1
,gasoline,10.0,,,,1
1.0,gasoline,,106.0,12.3,14.0,1
1.0,,10.0,93.0,11.9,13.0,1
1.0,gasoline,10.0,,11.9,12.0,1
1.0,gasoline,,92.0,12.5,11.0,1
1.0,gasoline,10.0,,13.8,10.0,1
1.0,,10.0,91.0,12.9,9.0,1
,gasoline,10.0,105.0,12.9,8.0,1
,gasoline,10.0,105.0,,,1
1.0,gasoline,10.0,90.0,11.8,6.0,1
,gasoline,10.0,90.0,11.0,5.0,1
1.0,,,88.0,8.8,,1
,gasoline,10.0,85.0,6.0,3.0,1
1.0,,10.0,83.0,3.1,2.0,1
1.0,,10.0,75.0,0.8,,1
1.0,gasoline,20.0,96.0,0.0,75.0,0
1.0,gasoline,,,,,0
1.0,gasoline,20.0,103.0,,70.0,1
1.0,gasoline,20.0,107.0,1.1,68.0,1
,,20.0,96.0,4.0,67.0,1
1.0,gasoline,20.0,105.0,6.5,66.0,1
1.0,gasoline,,,,65.0,1
,gasoline,20.0,95.0,9.0,60.0,1
1.0,gasoline,20.0,103.0,12.0,55.0,1
1.0,gasoline,20.0,110.0,,52.0,1
1.0,gasoline,20.0,112.0,,,1
,gasoline,20.0,113.0,15.2,50.0,1
,,20.0,111.0,14.9,48.0,1
1.0,,20.0,,15.5,47.0,1
1.0,gasoline,20.0,95.0,16.0,46.0,1
1.0,gasoline,20.0,95.0,16.3,45.0,1
,gasoline,20.0,92.0,16.0,44.0,1
1.0,gasoline,20.0,92.0,16.0,42.0,1
1.0,gasoline,20.0,,,,1
1.0,gasoline,20.0,,15.2,38.0,1
1.0,gasoline,20.0,,15.2,36.0,1
1.0,gasoline,,91.0,15.0,35.0,1
1.0,gasoline,20.0,108.0,15.2,,1
1.0,gasoline,20.0,108.0,14.8,33.0,1
,,20.0,90.0,14.1,32.0,1
1.0,gasoline,20.0,105.0,13.5,30.0,1
1.0,gasoline,20.0,92.0,,28.0,1
1.0,gasoline,20.0,88.0,13.3,,1
1.0,gasoline,20.0,106.0,12.8,26.0,1
1.0,gasoline,20.0,106.0,13.8,25.0,1
1.0,gasoline,20.0,,13.3,24.0,1
1.0,gasoline,20.0,92.0,13.8,,1
1.0,gasoline,20.0,91.0,,,1
,gasoline,20.0,92.0,13.2,21.0,1
1.0,gasoline,20.0,106.0,13.2,20.0,1
,gasoline,20.0,92.0,13.5,19.0,1
,gasoline,20.0,90.0,13.2,18.0,1
,gasoline,,89.0,12.8,17.0,1
1.0,,,,12.3,16.0,1
1.0,gasoline,20.0,105.0,12.3,15.0,1
,gasoline,20.0,93.0,,14.0,1
1.0,,20.0,,11.2,13.0,1
,gasoline,20.0,91.0,11.9,12.0,1
1.0,,20.0,91.0,11.5,11.0,1
1.0,gasoline,20.0,105.0,12.3,,1
1.0,,20.0,,12.0,9.0,1
1.0,gasoline,,91.0,12.2,8.0,1
1.0,gasoline,20.0,90.0,11.5,7.0,1
1.0,gasoline,20.0,90.0,11.0,6.0,1
,gasoline,20.0,100.0,9.6,5.0,1
1.0,,20.0,,,4.0,1
1.0,gasoline,,80.0,5.0,3.0,1
1.0,gasoline,,78.0,3.7,2.0,1
,gasoline,20.0,,1.0,,0
1.0,gasoline,30.0,106.0,,75.0,0
1.0,gasoline,30.0,96.0,0.0,72.0,0
1.0,,30.0,,,70.0,1
1.0,gasoline,30.0,104.0,0.4,68.0,1
