หมายเลขทางหลวง,หมายเลขตอนควบคุม,ชื่อตอน,รถยนต์นั่งไม่เกิน 7 คน,รถยนต์นั่งเกิน  7 คน,รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,รถบรรทุกขนาดเล็ก,รถบรรทุกขนาดกลาง,รถบรรทุกขนาดใหญ่,รถบรรทุกพ่วง,รถบรรทุกกึ่งพ่วง,รวม,รถจักรยานยนต์,จังหวัด
1,101,อนุสาวรีย์หลักสี่ - สะพานใหม่,6249384,2450282,145854,228308,415881,2211134,235535,58145,19053,30879,12044455,3100055,กรุงเทพมหานคร
1,102,แยก คปอ. - สนามกีฬาธูปะเตมีย์,20900718,8194830,487801,763562,1390891,7395013,787732,194461,63722,103273,40282003,10367960,กรุงเทพมหานคร
1,201,สนามกีฬาธูปะเตมีย์ - ต่างระดับคลองหลวง,740924709,172610044,85107915,20080902,56789434,287132586,43042278,19009481,5563148,4133213,1434393710,78102470,ปทุมธานี
1,202,ต่างระดับคลองหลวง - ประตูน้ำพระอินทร์,415404858,178351520,17360203,29404721,49137329,253823949,84643858,16064037,11562550,7421370,1063174395,64237430,ปทุมธานี
1,300,ประตูน้ำพระอินทร์ - หนองแค,350458648,208314859,82341810,21061646,33125217,169515001,160725261,107252688,106330063,95585945,1334711138,15317561,พระนครศรีอยุธยา
1,401,หนองแค - หินกอง,192830960,183965840,4531840,8100080,18185760,218118160,23295760,26040560,37568720,32645600,745283280,13712320,สระบุรี
1,402,หินกอง - ปากข้าวสาร,96415480,91982920,2265920,4050040,9092880,109059080,11647880,13020280,18784360,16322800,372641640,6856160,สระบุรี
1,403,ปากข้าวสาร - แยกสวนพฤกษศาสตร์พุแค,106186223,110169247,14576658,11350863,12229248,47167794,18317370,21149406,47614560,52279090,441040459,17317827,สระบุรี
1,404,แยกสวนพฤกษศาสตร์พุแค - แยกโรงเรียนสุธีวิทยา,44636276,36323933,12178082,16980212,12178082,31461714,23850413,16704803,20400290,18787896,233501701,25778275,สระบุรี
1,501,แยกโรงเรียนสุธีวิทยา - ดงจำปา,29499519,30826586,5572966,3895353,1727691,7125384,4120704,4417595,6324136,4410441,97920375,6849955,สระบุรี
1,502,ดงจำปา - แยกร.พ.อานันทมหิดล,37214546,38888682,7030467,4914107,2179535,8988890,5198394,5572931,7978091,5563906,123529549,8641428,ลพบุรี
1,503,แยก ร.พ.อานันทมหิดล - โคกสำโรง,67000247,30898070,3897813,242296,1696075,48459298,4087436,1169344,2686331,1653937,161790847,28475105,ลพบุรี
1,504,โคกสำโรง - หนองม่วง,28227814,31275287,639095,982188,935097,13912087,2764926,2590016,2462197,1796193,85584900,13616086,ลพบุรี
1,505,หนองม่วง - ลำพยนต์,17609647,19510784,398693,612728,583351,8678920,1724872,1615756,1536018,1120538,53391307,8494262,ลพบุรี
1,601,ลำพยนต์ - เกษตรชัย,4057767,2780992,134397,0,180920,9790332,775370,759862,2072821,847737,21400198,3075632,นครสวรรค์
1,602,เกษตรชัย - ตาคลี,10199575,6749273,226994,0,121063,16850484,1074436,696113,1278730,552351,37749019,6401217,นครสวรรค์
1,603,ตาคลี - ดอนรังนก,8157069,7309040,187679,142497,90364,3406019,670777,778519,764617,361455,21868036,6610458,นครสวรรค์
1,700,ดอนรังนก - หางน้ำหนองแขม,134332574,23184461,249631,140417,483660,46680960,10312872,4524558,6209566,3307608,229426307,29316017,ชัยนาท
1,801,หางน้ำหนองแขม - บ้านหว้า,71913607,81540044,0,543075,3214652,121202019,13419202,16160853,16283483,15880557,340157492,8312547,นครสวรรค์
1,802,บ้านหว้า - วังไผ่,48870580,49025705,49640,5727215,7303285,81384780,6806885,7563895,6850320,6316690,219898995,43031675,นครสวรรค์
1,803,วังไผ่ -โนนปอแดง,72703620,43448724,2587266,607068,5665968,51600780,16997904,15884946,23357664,29616246,262470186,7761798,นครสวรรค์
1,901,โนนปอแดง - ปากดง,94119046,26699896,1969978,803292,1549206,184852790,18150574,17136896,22492176,31041498,398815352,17901936,กำแพงเพชร
1,902,ปากดง - นครชุม,66596581,31034948,267980,21728,528717,60396834,9415504,9002670,9212708,10023890,196501560,30317921,กำแพงเพชร
1,903,นครชุม - วังเจ้า,42219832,20304480,711781,362134,749243,74437272,10551836,8828578,6693236,13548807,178407199,11650726,กำแพงเพชร
1,1001,วังเจ้า - ตาก,47196186,28657355,188690,47173,860900,69249377,11922875,12099772,10165695,17324137,197712160,8986380,ตาก
1,1002,ตาก - วังม่วง,5652631,4157930,535179,658682,972189,4262432,1944378,2004546,1988713,1634038,23810718,1478868,ตาก
1,1003,วังม่วง - แม่เชียงรายบน,32344307,23791639,3062290,3768972,5562858,24389601,11125717,11469998,11379398,9349951,136244731,8462068,ตาก
